"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"1","19:40:56","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","64912"
"2","19:40:56","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25904"
"3","19:40:56","10.0.2.15","10.0.2.3","UDP","97","43013","53","N/A","0x00","23743"
"4","19:40:56","10.0.2.3","10.0.2.15","UDP","171","53","43013","N/A","0x00","25905"
"5","19:40:56","10.0.2.15","10.0.2.3","UDP","86","43013","53","N/A","0x00","23744"
"6","19:40:56","10.0.2.3","10.0.2.15","UDP","86","53","43013","N/A","0x00","25906"
"7","19:40:57","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","65216"
"8","19:40:57","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25907"
"9","19:40:57","10.0.2.15","10.0.2.3","UDP","97","54808","53","N/A","0x00","62286"
"10","19:40:57","10.0.2.3","10.0.2.15","UDP","171","53","54808","N/A","0x00","25908"
"11","19:40:57","10.0.2.15","10.0.2.3","UDP","86","54808","53","N/A","0x00","62287"
"12","19:40:57","10.0.2.3","10.0.2.15","UDP","86","53","54808","N/A","0x00","25909"
"13","19:40:58","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","178"
"14","19:40:58","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25910"
"15","19:40:58","10.0.2.15","10.0.2.3","UDP","97","33958","53","N/A","0x00","5006"
"16","19:40:58","10.0.2.3","10.0.2.15","UDP","97","53","33958","N/A","0x00","25911"
"17","19:40:58","10.0.2.15","10.0.2.3","UDP","86","33958","53","N/A","0x00","5007"
"18","19:40:58","10.0.2.3","10.0.2.15","UDP","86","53","33958","N/A","0x00","25912"
"19","19:40:59","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","520"
"20","19:40:59","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25913"
"21","19:40:59","10.0.2.15","10.0.2.3","UDP","97","54448","53","N/A","0x00","21678"
"22","19:40:59","10.0.2.3","10.0.2.15","UDP","97","53","54448","N/A","0x00","25914"
"23","19:40:59","10.0.2.15","10.0.2.3","UDP","86","54448","53","N/A","0x00","21679"
"24","19:40:59","10.0.2.3","10.0.2.15","UDP","86","53","54448","N/A","0x00","25915"
"25","19:41:00","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","1509"
"26","19:41:00","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25916"
"27","19:41:00","10.0.2.15","10.0.2.3","UDP","97","39427","53","N/A","0x00","931"
"28","19:41:00","10.0.2.3","10.0.2.15","UDP","97","53","39427","N/A","0x00","25917"
"29","19:41:00","10.0.2.15","10.0.2.3","UDP","86","39427","53","N/A","0x00","932"
"30","19:41:00","10.0.2.3","10.0.2.15","UDP","86","53","39427","N/A","0x00","25918"
"31","19:41:01","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","2329"
"32","19:41:01","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25919"
"33","19:41:01","10.0.2.15","10.0.2.3","UDP","97","45449","53","N/A","0x00","19670"
